[(116.4104283565408, 39.94363283501469), (116.41067589864355, 39.935438564170866), (116.4107466, 39.93544070000001), (116.41049905789725, 39.94363497084383), (116.4104283565408, 39.94363283501469), 89.4, (116.41058747827039, 39.93953676750736), 911.0, 455.5, 911.7519999999998, 0]
[(116.41736163654703, 39.93246736701418), (116.40927623654703, 39.93226826701419), (116.40927939999999, 39.9321398), (116.41736479999999, 39.9323389), (116.41736163654703, 39.93246736701418), 352.1, (116.41332051827351, 39.93230358350709), 14.0, 7.0, 690.7139999999999, 1]
[(116.40253162137724, 39.93220351659885), (116.40283932137724, 39.92588031659884), (116.40288830000001, 39.9258827), (116.40258060000001, 39.93220590000001), (116.40253162137724, 39.93220351659885), 88.1, (116.40270996068861, 39.929043108299425), 704.0, 352.0, 704.095, 2]
[(116.40284243628706, 39.92604355271291), (116.40258963912662, 39.9322062707886), (116.40257860283957, 39.93220581807569), (116.40283140000001, 39.9260431), (116.40284243628706, 39.92604355271291), 88.1, (116.4027105195633, 39.9291246853943), 1.0, 0.5, 685.611, 3]
[(116.42231423747485, 39.94834868921814), (116.41402798830299, 39.94808406627356), (116.41402815082814, 39.94807897705542), (116.4223144, 39.9483436), (116.42231423747485, 39.94834868921814), 177.7, (116.4181711941515, 39.94821383313678), 707.0, 353.5, 706.967, 4]
[(116.41115468285841, 39.927294401286815), (116.41092146517612, 39.933854773004555), (116.4108519, 39.9338523), (116.41108511768229, 39.92729192828226), (116.41115468285841, 39.927294401286815), 268.4, (116.41100329142922, 39.930573350643414), 730.0, 365.0, 730.5230000000001, 5]
[(116.3978923955407, 39.93199571493184), (116.4092797277683, 39.93202957736029), (116.40927940000002, 39.93213980000001), (116.39789206777242, 39.932105937571556), (116.3978923955407, 39.93199571493184), 174.8, (116.40358589777037, 39.93206775746593), 12.0, 6.0, 971.469, 6]
[(116.41042974754356, 39.94363288334049), (116.41067061310034, 39.93560478321354), (116.41074045495421, 39.93560687866536), (116.41049958939743, 39.94363497879231), (116.41042974754356, 39.94363288334049), 89.4, (116.41058510124887, 39.939619881002926), 893.0, 446.5, 893.2649999999999, 7]
[(116.41333411495404, 39.927308738159354), (116.40450876344322, 39.927363984134224), (116.4045085, 39.9273219), (116.41333385151083, 39.92726665402513), (116.41333411495404, 39.927308738159354), 179.8, (116.40892130747704, 39.927315319079675), 753.0, 376.5, 752.648, 8]
[(116.41970430855471, 39.932211741374935), (116.42714100855471, 39.932221441374935), (116.42714100000002, 39.93222800000001), (116.41970430000002, 39.93221830000001), (116.41970430855471, 39.932211741374935), 0.09999999999999432, (116.4234226542774, 39.932219870687476), 634.0, 317.0, 634.0920000000001, 9]
[(116.40283209880018, 39.92630892917501), (116.40258870763846, 39.93220623461513), (116.40257830883833, 39.932205805440134), (116.40282170000005, 39.92630850000001), (116.40283209880018, 39.92630892917501), 88.1, (116.40270520381922, 39.92925736730757), 1.0, 0.5, 656.088, 10]
[(116.42231419388906, 39.94835001303708), (116.41310119388906, 39.94805391303708), (116.41310140000002, 39.94804750000001), (116.42231440000002, 39.94834360000001), (116.42231419388906, 39.94835001303708), 177.7, (116.41770779694455, 39.948198756518536), 786.0, 393.0, 786.058, 11]
[(116.4108950464314, 39.93360297215239), (116.4110401963268, 39.92729109714003), (116.41110119999999, 39.92729249999999), (116.4109560501046, 39.93360437501236), (116.4108950464314, 39.93360297215239), 268.4, (116.41099812321572, 39.93044773607619), 5.0, 2.5, 702.2890000000001, 12]
[(116.39831692776829, 39.931996977360285), (116.4092797277683, 39.93202957736029), (116.40927940000002, 39.93213980000001), (116.39831660000002, 39.932107200000004), (116.39831692776829, 39.931996977360285), 174.8, (116.40379816388415, 39.93206838868016), 12.0, 6.0, 935.249, 13]
[(116.41042974754356, 39.94363288334049), (116.41066809683974, 39.935688650713324), (116.41073793869361, 39.93569074616514), (116.41049958939743, 39.94363497879231), (116.41042974754356, 39.94363288334049), 89.4, (116.41058384311857, 39.93966181475282), 884.0, 442.0, 883.9229999999999, 14]
[(116.42231423747485, 39.94834868921814), (116.41402798830299, 39.94808406627356), (116.41402815082814, 39.94807897705542), (116.4223144, 39.9483436), (116.42231423747485, 39.94834868921814), 177.7, (116.4181711941515, 39.94821383313678), 707.0, 353.5, 706.967, 15]
[(116.41970430824834, 39.932211824661586), (116.42692670824835, 39.93222102466159), (116.42692669999997, 39.932227499999996), (116.41970429999996, 39.932218299999995), (116.41970430824834, 39.932211824661586), 0.09999999999999432, (116.42331550412418, 39.932219662330795), 616.0, 308.0, 615.82, 16]
[(116.41091083624026, 39.93291634885374), (116.4110401963268, 39.92729109714003), (116.41110119999999, 39.92729249999999), (116.41097183991346, 39.9329177517137), (116.41091083624026, 39.93291634885374), 268.4, (116.41100601812015, 39.93010442442687), 5.0, 2.5, 625.9340000000001, 17]
[(116.41333411498788, 39.92730862530937), (116.40530046375623, 39.927359089062335), (116.40530019999999, 39.9273171), (116.41333385123163, 39.92726663624704), (116.41333411498788, 39.92730862530937), 179.8, (116.40931715749393, 39.927312862654695), 685.0, 342.5, 685.1370000000001, 18]
[(116.39954776813863, 39.931993804157365), (116.40927986813864, 39.93203900415737), (116.4092794, 39.9321398), (116.3995473, 39.9320946), (116.39954776813863, 39.931993804157365), 174.8, (116.40441358406932, 39.93206680207869), 11.0, 5.5, 830.3040000000001, 19]
[(116.42231423747485, 39.94834868921814), (116.41412757934647, 39.94808724673249), (116.41412774187162, 39.94808215751435), (116.4223144, 39.9483436), (116.42231423747485, 39.94834868921814), 177.7, (116.41822098967324, 39.94821542336624), 698.0, 349.0, 698.47, 20]
[(116.41042974754356, 39.94363288334049), (116.41066725814616, 39.93571660454819), (116.41073710000003, 39.93571870000001), (116.41049958939743, 39.94363497879231), (116.41042974754356, 39.94363288334049), 89.4, (116.4105834237718, 39.939675791670254), 880.0, 440.0, 880.8089999999999, 21]
