[(108.96986225344892, 34.1692549761306), (108.96347525344892, 34.169235776130606), (108.9634858, 34.165727399999994), (108.9698728, 34.16574659999999), (108.96986225344892, 34.1692549761306), 180.1, (108.96667402672446, 34.167491188065306), 588.0, 390.0, 1947.7650000000003, 0]
[(108.98499724904927, 34.14411210002824), (108.98499463996731, 34.13940451333477), (108.9888536999859, 34.13940237453105), (108.98885630906786, 34.14410996122452), (108.98499724904927, 34.14411210002824), 90.0, (108.98692547451759, 34.14175723727965), 523.0, 355.0, 1753.196, 1]
[(108.97893658679799, 34.14410338815022), (108.9916774577609, 34.144086698643), (108.99168297096294, 34.14829551049279), (108.97894210000003, 34.14831220000001), (108.97893658679799, 34.14410338815022), 2.6, (108.98530977888048, 34.14619944932151), 1173.0, 468.0, 3253.726, 2]
[(108.95591920000003, 34.163368600000005), (108.95596173773232, 34.15634666377869), (108.95966477061434, 34.15636909614157), (108.95962223288204, 34.16339103236288), (108.95591920000003, 34.163368600000005), 269.6, (108.9577919853072, 34.159868848070786), 341.0, 781.0, 2217.559, 3]
[(108.98511489102148, 34.15687794595834), (108.99156345180454, 34.156927893677064), (108.99149450000002, 34.16583000000001), (108.98504593921696, 34.165780052281285), (108.98511489102148, 34.15687794595834), 87.19999999999999, (108.98830469551076, 34.16135397297917), 990.0, 593.0, 3129.612, 4]
[(108.97449928461697, 34.143974736545914), (108.97452078461697, 34.139355636545915), (108.98501869999998, 34.1394045), (108.98499719999998, 34.1440236), (108.97449928461697, 34.143974736545914), 359.8, (108.97975899230848, 34.14168961827295), 514.0, 966.0, 2847.3140000000003, 5]
[(108.96348579999999, 34.1657274), (108.96970861872097, 34.165746448828), (108.96969788018717, 34.16925448350807), (108.96347506146618, 34.16923543468007), (108.96348579999999, 34.1657274), 180.1, (108.96659184009357, 34.16749094175403), 390.0, 573.0, 1920.1990000000003, 6]
[(108.95591920000003, 34.163368600000005), (108.95596214669825, 34.15627915353468), (108.95966517958027, 34.15630158589756), (108.95962223288204, 34.16339103236288), (108.95591920000003, 34.163368600000005), 269.6, (108.95779218979017, 34.15983509294878), 341.0, 788.0, 2237.353, 7]
[(108.99168568220918, 34.14829532459086), (108.9787114001266, 34.14832837243222), (108.97870067928683, 34.14411946820141), (108.99167496136941, 34.144086420360054), (108.99168568220918, 34.14829532459086), 2.6, (108.98519318074801, 34.146207396396136), 468.0, 1194.0, 3305.253, 8]
[(108.95969565209619, 34.155706219326966), (108.95962165629119, 34.163404189412624), (108.95591919999998, 34.1633686), (108.95599319580498, 34.15567062991434), (108.95969565209619, 34.155706219326966), 269.6, (108.95780742604809, 34.159537409663486), 856.0, 341.0, 2365.3250000000003, 9]
[(108.9850145413327, 34.144149946212195), (108.97451644133271, 34.144140746212194), (108.9745206, 34.1393953), (108.9850187, 34.1394045), (108.9850145413327, 34.144149946212195), 359.8, (108.97976757066635, 34.1417726231061), 528.0, 966.0, 2866.8250000000003, 10]
[(108.98511612269738, 34.1568779465069), (108.99173440379018, 34.156930546744704), (108.9916644567041, 34.165731447589025), (108.9850461756113, 34.165678847351224), (108.98511612269738, 34.1568779465069), 87.19999999999999, (108.98839028970073, 34.16130469704796), 979.0, 609.0, 3138.1649999999995, 11]
[(108.98511555143143, 34.15694982448165), (108.99173383252423, 34.15700242471945), (108.9916644567041, 34.165731447589025), (108.9850461756113, 34.165678847351224), (108.98511555143143, 34.15694982448165), 87.19999999999999, (108.98839000406775, 34.161340636035334), 971.0, 609.0, 3121.2609999999995, 12]
[(108.96986221308867, 34.16925496766239), (108.96347594840101, 34.16923604806608), (108.96348613531234, 34.16579748040369), (108.9698724, 34.1658164), (108.96986221308867, 34.16925496766239), 180.1, (108.9666741742005, 34.16752622403304), 588.0, 382.0, 1930.8690000000001, 13]
[(108.94050618351929, 34.17084247404821), (108.9463650835193, 34.17081207404821), (108.94638140000002, 34.173956700000005), (108.94052250000001, 34.173987100000005), (108.94050618351929, 34.17084247404821), 180.2, (108.94344379175966, 34.17239958702411), 350.0, 539.0, 1765.661, 14]
[(108.95591920000003, 34.163368600000005), (108.95596507761017, 34.15579533186802), (108.95966811049219, 34.155817764230896), (108.95962223288204, 34.16339103236288), (108.95591920000003, 34.163368600000005), 269.6, (108.9577936552461, 34.15959318211545), 341.0, 842.0, 2341.8759999999997, 15]
[(108.98511489102148, 34.15687794595834), (108.99173454154024, 34.156929218862984), (108.99166558973572, 34.16583132518593), (108.98504593921696, 34.165780052281285), (108.98511489102148, 34.15687794595834), 87.19999999999999, (108.98839024037859, 34.16135463557214), 990.0, 609.0, 3161.1389999999997, 16]
[(108.96348613755889, 34.16579713036504), (108.96970840527275, 34.16581617750634), (108.96969788018717, 34.16925448350807), (108.9634756124733, 34.16923543636677), (108.96348613755889, 34.16579713036504), 180.1, (108.96659200887302, 34.16752580693656), 382.0, 572.0, 1903.683, 17]
[(108.95587036752954, 34.173940927017796), (108.95066520000002, 34.1739331), (108.95066982631917, 34.17085647913812), (108.9558749938487, 34.17086430615592), (108.95587036752954, 34.173940927017796), 179.7, (108.95327009692436, 34.17239870307796), 479.0, 342.0, 1551.743, 18]
[(108.94632801972381, 34.16338693165107), (108.9559192, 34.1633686), (108.95592722719199, 34.16756845331224), (108.9463360469158, 34.16758678496331), (108.94632801972381, 34.16338693165107), 359.9, (108.95112762345791, 34.16547769248166), 882.0, 467.0, 2565.089, 19]
[(108.98511433428106, 34.15694982460583), (108.99173398479982, 34.157001097510474), (108.99166558973572, 34.16583132518593), (108.98504593921696, 34.165780052281285), (108.98511433428106, 34.15694982460583), 87.19999999999999, (108.98838996200838, 34.16139057489588), 982.0, 609.0, 3144.2349999999997, 20]
[(108.94632347212445, 34.17395651124024), (108.94634433644185, 34.16755352779167), (108.9506944166467, 34.16756770266107), (108.95067355232929, 34.17397068610964), (108.94632347212445, 34.17395651124024), 270.4, (108.94850894438557, 34.170762106950654), 400.0, 712.0, 2207.096, 21]
[(108.97556471489847, 34.16569706419596), (108.98254502092394, 34.165705184908404), (108.9825409, 34.1692474), (108.97556059397454, 34.16923927928756), (108.97556471489847, 34.16569706419596), 179.89999999999998, (108.97905280744924, 34.167472232097985), 394.0, 642.0, 2067.018, 22]
[(108.96371719854895, 34.163332651065566), (108.9559192, 34.1633686), (108.95590664570649, 34.16064533812737), (108.96370464425544, 34.160609389192935), (108.96371719854895, 34.163332651065566), 179.3, (108.95981192212771, 34.16198899459646), 717.0, 303.0, 2015.493, 23]
