[(113.91523036790781, 22.54355916420463), (113.92283635353597, 22.542775227054918), (113.92317018562818, 22.54601416285029), (113.91556420000002, 22.546798100000004), (113.91523036790781, 22.54355916420463), 182.10000000000002, (113.91920027676801, 22.544786663527457), 362.0, 786.0, 1841.734, 0]
[(113.92255557478475, 22.544269936642408), (113.92459050000001, 22.5442767), (113.92457912308147, 22.54769973036338), (113.92254419786622, 22.547692967005787), (113.92255557478475, 22.544269936642408), 89.19999999999999, (113.92356734893312, 22.54598483350289), 381.0, 209.0, 981.5360000000001, 1]
[(113.9153875116301, 22.543456099411245), (113.92314890692856, 22.542934254370117), (113.92336089529844, 22.546087154958872), (113.91559949999998, 22.546608999999997), (113.9153875116301, 22.543456099411245), 182.10000000000002, (113.91937420346427, 22.544771627185057), 351.0, 799.0, 1827.48, 2]
[(113.93392735480428, 22.578300345006244), (113.93417805480429, 22.564083445006247), (113.9436799, 22.564251), (113.9434292, 22.578467899999993), (113.93392735480428, 22.578300345006244), 89.10000000000002, (113.93880362740214, 22.571275672503123), 1581.0, 976.0, 3933.4069999999997, 3]
[(113.92459050000001, 22.5442767), (113.92465523957644, 22.54765954774067), (113.92261865688472, 22.547698523039273), (113.92255391730829, 22.544315675298606), (113.92459050000001, 22.5442767), 89.19999999999999, (113.92360457844237, 22.54598761151964), 209.0, 376.0, 951.588, 4]
[(113.92463134421521, 22.543459055045744), (113.92448164766982, 22.549253974652693), (113.9206522669523, 22.54915505264803), (113.9208019634977, 22.54336013304108), (113.92463134421521, 22.543459055045744), 266.70000000000005, (113.92264180558375, 22.546307053846885), 645.0, 393.0, 1544.1979999999999, 5]
[(113.92461718772688, 22.5434929318532), (113.92450018772689, 22.549291531853203), (113.92065269999999, 22.549213899999998), (113.92076969999998, 22.543415299999996), (113.92461718772688, 22.5434929318532), 266.70000000000005, (113.92263494386343, 22.5463534159266), 645.0, 395.0, 1543.1279999999997, 6]
[(113.92251457982034, 22.54769020958851), (113.92255188412017, 22.54425456466885), (113.92459049999998, 22.544276699999998), (113.92455319570016, 22.547712344919656), (113.92251457982034, 22.54769020958851), 89.19999999999999, (113.92355253991013, 22.54598345479425), 382.0, 209.0, 979.921, 7]
[(113.91545343425926, 22.5434065364529), (113.92286639333163, 22.54304997607375), (113.92301565907236, 22.54615323962085), (113.9156027, 22.5465098), (113.91545343425926, 22.5434065364529), 182.10000000000002, (113.91923454666582, 22.544779888036878), 345.0, 762.0, 1758.3390000000002, 8]
[(113.91523036790781, 22.54355916420463), (113.92243689723834, 22.542816398396372), (113.92277072933055, 22.546055334191745), (113.91556420000002, 22.546798100000004), (113.91523036790781, 22.54355916420463), 182.10000000000002, (113.91900054861918, 22.54480724919819), 362.0, 745.0, 1732.738, 9]
