[(113.9428422995341, 22.578159342164252), (113.93447959953413, 22.578066942164252), (113.9344796, 22.578066900000003), (113.94284229999998, 22.578159300000003), (113.9428422995341, 22.578159342164252), 359.3, (113.93866094976705, 22.57811312108213), 0.0, 0.0, 858.682, 0]
[(113.95939230184399, 22.54356376270744), (113.950602006376, 22.543510668388354), (113.9506024364048, 22.543439472821966), (113.95939273187278, 22.54349256714105), (113.95939230184399, 22.54356376270744), 359.1, (113.95499736912438, 22.5435016177647), 8.0, 4.0, 903.4350000000001, 1]
[(113.92907752959937, 22.57042285450576), (113.92904260694571, 22.563011997966264), (113.92916950000001, 22.5630114), (113.92920442265367, 22.570422256539498), (113.92907752959937, 22.57042285450576), 88.39999999999998, (113.92912351479971, 22.56671712725288), 824.0, 412.0, 824.9060000000002, 2]
[(113.96068755362354, 22.549592128416176), (113.96192992104343, 22.558033255769157), (113.96185759999999, 22.5580439), (113.9606152325801, 22.54960277264702), (113.96068755362354, 22.549592128416176), 277.5, (113.96127257681178, 22.553818014208087), 947.0, 473.5, 947.79, 3]
[(113.92823344497921, 22.542581569443463), (113.91894273146683, 22.54310786560793), (113.91894088648762, 22.543075296164467), (113.9282316, 22.542549), (113.92823344497921, 22.542581569443463), 184.2, (113.92358716573344, 22.54282843280396), 956.0, 478.0, 956.007, 4]
[(113.94343288869963, 22.5782505870128), (113.93406009388963, 22.578131179626205), (113.93406010518999, 22.578130292613398), (113.94343289999999, 22.578249699999994), (113.94343288869963, 22.5782505870128), 359.4, (113.93874649694482, 22.578190439813095), 0.0, 0.0, 962.4220000000001, 5]
[(113.92823344497921, 22.542581569443463), (113.9190962449792, 22.543099169443458), (113.91909439999999, 22.543066599999996), (113.9282316, 22.542549), (113.92823344497921, 22.542581569443463), 184.2, (113.9236639224896, 22.542824084721726), 940.0, 470.0, 940.208, 6]
[(113.95932114101902, 22.543563332888493), (113.950602006376, 22.543510668388354), (113.9506024364048, 22.543439472821966), (113.95932157104781, 22.543492137322104), (113.95932114101902, 22.543563332888493), 359.1, (113.95496178871188, 22.54350140285523), 8.0, 4.0, 896.0400000000001, 7]
[(113.9290818083218, 22.570423074174922), (113.92903193705651, 22.56311854088765), (113.92915510000002, 22.5631177), (113.9292049712653, 22.57042223328727), (113.9290818083218, 22.570423074174922), 88.39999999999998, (113.92911845416093, 22.566770387087455), 812.0, 406.0, 812.9940000000001, 8]
[(113.96597211978963, 22.56922067585037), (113.95765591978962, 22.57126937585037), (113.95763909999997, 22.571201099999996), (113.96595529999999, 22.569152399999997), (113.96597211978963, 22.56922067585037), 200.89999999999998, (113.96180560989477, 22.57021088792519), 884.0, 442.0, 884.448, 9]
[(113.96067059940543, 22.549594519868368), (113.9619132117309, 22.55791344506382), (113.9618546, 22.55792220000001), (113.96061198767453, 22.549603274804557), (113.96067059940543, 22.549594519868368), 277.5, (113.96126259970272, 22.55375835993419), 934.0, 467.0, 934.254, 10]
[(113.92823322244966, 22.542577340628316), (113.91945835633906, 22.54307968582169), (113.91945673388942, 22.54305134519338), (113.92823160000002, 22.542549000000005), (113.92823322244966, 22.542577340628316), 184.2, (113.92384497816954, 22.54281434291085), 903.0, 451.5, 902.957, 11]
[(113.9591990699712, 22.54356259556639), (113.950602006376, 22.543510668388354), (113.9506024364048, 22.543439472821966), (113.9591995, 22.5434914), (113.9591990699712, 22.54356259556639), 359.1, (113.95490075318799, 22.54350103419418), 8.0, 4.0, 883.4340000000001, 12]
[(113.92921979630003, 22.559091620793154), (113.92915599630004, 22.566439420793156), (113.9290845, 22.566438800000004), (113.9291483, 22.559091000000002), (113.92921979630003, 22.559091620793154), 273.9, (113.92915214815002, 22.562765210396577), 817.0, 408.5, 817.3300000000002, 13]
[(113.94315634226967, 22.55570063630337), (113.93368744226967, 22.555861436303367), (113.93368429999997, 22.555676399999996), (113.94315319999997, 22.555515599999993), (113.94315634226967, 22.55570063630337), 181.10000000000002, (113.93842032113486, 22.55568851815168), 973.0, 486.5, 973.619, 14]
[(113.92823322244966, 22.542577340628316), (113.91971592244965, 22.543064940628316), (113.91971430000001, 22.543036600000004), (113.92823160000002, 22.542549000000005), (113.92823322244966, 22.542577340628316), 184.2, (113.92397376122481, 22.542806970314164), 876.0, 438.0, 876.453, 15]
[(113.93406010554648, 22.578130266487655), (113.94315480349663, 22.57824662670368), (113.94315479795014, 22.578247060216025), (113.9340601, 22.5781307), (113.93406010554648, 22.578130266487655), 359.4, (113.93860745174834, 22.578188663351845), 934.0, 467.0, 933.8670000000001, 16]
[(113.96004671420712, 22.543535550168855), (113.95060471420712, 22.543645050168855), (113.95060240000001, 22.543445500000004), (113.96004440000002, 22.543336000000004), (113.96004671420712, 22.543535550168855), 359.1, (113.95532455710357, 22.543490525084422), 22.0, 11.0, 971.943, 17]
[(113.96064618815025, 22.54959809357284), (113.96189307226498, 22.557772670738004), (113.9618542, 22.557778600000002), (113.96060731588527, 22.54960402283484), (113.96064618815025, 22.54959809357284), 277.5, (113.96125019407512, 22.55368834678642), 918.0, 459.0, 918.2860000000001, 18]
[(113.92885394154266, 22.559102069349414), (113.92852534154267, 22.55036386934941), (113.92881969999999, 22.550352799999995), (113.92914829999998, 22.559091), (113.92885394154266, 22.559102069349414), 95.69999999999999, (113.92883682077134, 22.554727434674707), 972.0, 486.0, 974.3220000000001, 19]
[(113.94315674811249, 22.55567910302448), (113.93435682544327, 22.55587006655752), (113.93435320000003, 22.555703000000005), (113.94315312266924, 22.555512036466965), (113.94315674811249, 22.55567910302448), 181.10000000000002, (113.93875497405624, 22.55569105151224), 904.0, 452.0, 904.866, 20]
[(113.96188718335621, 22.570609473235336), (113.95240374108855, 22.571930223747106), (113.95234335773235, 22.571496650511772), (113.96182680000001, 22.570175900000002), (113.96188718335621, 22.570609473235336), 195.3, (113.95711527054426, 22.571053061873556), 985.0, 492.5, 990.6790000000001, 21]
[(113.93406010554648, 22.578130266487655), (113.94312400469992, 22.578246232654898), (113.94312399915344, 22.578246666167242), (113.9340601, 22.5781307), (113.93406010554648, 22.578130266487655), 359.4, (113.93859205234993, 22.578188466327447), 931.0, 465.5, 930.705, 22]
[(113.95995132219635, 22.543540428565418), (113.95060412219632, 22.54362842856542), (113.95060239999997, 22.543445499999997), (113.95994959999999, 22.543357499999995), (113.95995132219635, 22.543540428565418), 359.1, (113.95527686109816, 22.543492964282706), 20.0, 10.0, 961.918, 23]
[(113.92885855684895, 22.559102252796183), (113.92853165684896, 22.550685052796187), (113.92882139999999, 22.5506738), (113.92914829999998, 22.559090999999995), (113.92885855684895, 22.559102252796183), 95.69999999999999, (113.92883997842448, 22.554888026398093), 937.0, 468.5, 938.6280000000002, 24]
