[0, 430, 1665, 853, 6324, 4316, 1]
[1, 430, 1665, 853, 6324, 4316, 1]
[2, 430, 1665, 853, 6324, 4316, 1]
[33, 305, 5514, 630, 9127, 2436, 16463]
[34, 305, 5514, 630, 9127, 2436, 16463]
[35, 516, 10934, 1549, 4961, 2440, 1591]
[36, 516, 10934, 1549, 4961, 2440, 1591]
[202, 654, 1524, 893, 8392, 24039, 3229]
[228, 1421, 5515, 1497, 9786, 4117, 5754]
[290, 1575, 1618, 1285, 1654, 1785, 5976]
[295, 635, 1565, 870, 1646, 24034, 3229]
[296, 635, 1565, 870, 1646, 24034, 3229]
[368, 895, 15869, 1333, 6304, 2267, 5976]
[383, 709, 14287, 1520, 8946, 16864, 6779]
[384, 709, 14287, 1520, 8946, 16864, 6779]
[393, 709, 14287, 1520, 8946, 16864, 6779]
[394, 709, 14287, 1520, 8946, 16864, 6779]
[399, 897, 1773, 51, 2422, 2819, 6273]
[400, 1500, 1773, 857, 1237, 2820, 6263]
[402, 897, 1773, 51, 2422, 2819, 6273]
[415, 122, 13625, 1614, 4153, 5120, 14232]
[416, 122, 13625, 1614, 4153, 5120, 14232]
[417, 1005, 1773, 857, 1237, 5105, 2929]
[418, 1038, 10888, 1292, 2168, 7452, 2658]
[419, 132, 1773, 51, 2422, 10105, 6460]
[420, 132, 1773, 51, 2422, 10105, 6461]
[429, 709, 14287, 55, 897, 4949, 10066]
[430, 709, 14287, 55, 897, 4949, 10066]
[435, 897, 1773, 51, 2422, 10105, 6463]
[437, 897, 1773, 51, 2422, 10105, 6463]
[446, 132, 1773, 51, 2422, 10105, 6461]
[447, 132, 13625, 1614, 4147, 633, 6459]
[448, 132, 1773, 51, 2422, 10105, 6461]
[449, 132, 1773, 51, 2422, 10105, 6464]
[454, 154, 1773, 857, 1237, 5090, 1996]
[455, 154, 1773, 857, 1237, 5090, 1996]
[456, 154, 1773, 857, 1237, 5090, 1996]
[457, 154, 1773, 857, 1237, 5090, 1996]
[469, 709, 14287, 55, 897, 18993, 1996]
[470, 709, 14287, 55, 897, 18993, 1996]
[471, 709, 14287, 55, 897, 18993, 1996]
[472, 709, 14287, 55, 897, 18993, 1996]
[479, 709, 14287, 55, 897, 18993, 1996]
[480, 709, 14287, 55, 897, 18993, 1996]
[481, 709, 14287, 55, 897, 18993, 1996]
[482, 709, 14287, 55, 897, 18993, 1996]
[483, 709, 14287, 1520, 8946, 2820, 11064]
[484, 709, 14287, 1520, 8946, 2820, 11064]
[506, 709, 14287, 1520, 8946, 2820, 11064]
[507, 709, 14287, 1520, 8946, 2820, 11064]
[508, 1620, 5847, 1519, 2168, 7322, 2664]
[509, 1620, 5847, 1519, 2168, 7322, 2664]
[510, 1620, 5847, 1519, 2168, 7322, 2664]
[513, 1620, 9688, 1519, 2168, 11366, 2664]
[514, 1620, 9679, 1519, 2168, 11366, 2664]
[515, 1620, 9679, 1519, 2168, 11366, 2664]
[528, 1620, 9680, 1519, 2168, 11366, 2664]
[529, 1620, 9680, 1519, 2168, 11366, 2664]
[530, 1620, 5769, 1519, 2168, 11366, 2664]
[580, 1010, 6494, 1005, 1469, 24383, 2929]
[630, 1056, 11674, 1213, 7604, 16993, 5913]
[639, 1026, 11682, 1234, 7604, 9173, 2658]
[641, 1026, 11682, 1234, 7604, 9173, 2658]
[652, 1026, 11682, 1234, 2257, 3139, 2658]
[654, 1026, 11682, 1234, 2257, 3139, 2658]
[662, 1026, 11674, 1234, 7604, 9034, 2602]
[671, 1026, 11674, 1234, 7604, 9034, 7373]
[672, 1026, 11674, 1234, 7604, 9034, 2602]
[681, 1026, 11674, 1234, 7604, 9034, 5911]
[682, 975, 15617, 1500, 4222, 8245, 6312]
[683, 975, 15617, 1500, 1469, 6144, 6312]
[684, 975, 15617, 1500, 4222, 8245, 6312]
[685, 975, 15617, 1500, 1469, 6144, 6312]
[791, 983, 7274, 943, 9485, 8245, 6312]
[792, 983, 7274, 943, 9485, 8245, 6312]
[871, 129, 293, 1548, 3888, 294, 2590]
[964, 709, 14287, 1520, 8946, 8666, 6271]
[976, 900, 6494, 1500, 8475, 16302, 3214]
[1055, 637, 34, 428, 88, 4381, 5979]
[1061, 975, 15617, 1500, 1469, 8245, 6312]
[1062, 975, 15617, 1500, 1469, 8245, 6312]
[1067, 975, 15617, 1500, 1469, 8245, 6312]
[1068, 975, 15617, 1500, 1469, 8245, 6312]
[1081, 1685, 3706, 551, 9685, 17479, 15049]
[1082, 1685, 3706, 551, 9685, 17479, 15049]
[1087, 1653, 3706, 551, 9685, 17479, 2646]
[1088, 1653, 3706, 551, 9685, 17479, 15049]
[1089, 1653, 3706, 551, 9685, 17479, 2646]
[1090, 1653, 3706, 551, 9685, 17479, 15049]
[1093, 1653, 3706, 551, 9685, 17479, 2646]
[1094, 1653, 3706, 551, 9685, 17479, 15049]
[1095, 1653, 3706, 551, 9685, 17479, 2646]
[1096, 1653, 3706, 551, 9685, 17479, 15049]
